Calibrating current sensor...
Make sure motor is NOT moving!
Zero ADC: 467.79
Zero voltage: 2.286
Test current (~0 A): -0.361
Starting test in 3 seconds...
Time_s,RPM,Current_A
7.040012,0.00,0.376930
7.050012,0.00,0.435581
7.060004,0.00,0.518670
7.070008,0.00,-0.062952
7.080008,0.00,-0.844965
7.090004,0.00,-0.546823
7.100008,0.00,0.318279
7.110008,0.00,0.562658
7.120004,0.00,-0.243793
7.130016,0.00,-0.116715
7.140012,0.00,0.665297
7.150004,0.00,0.640860
7.160008,0.00,-0.062952
7.170008,0.00,0.567546
7.180008,0.00,-0.595698
7.190012,0.00,0.220528
7.200004,0.00,0.626197
7.210004,0.00,0.357380
7.220016,0.00,-0.048289
7.230008,0.00,0.078788
7.240008,0.00,0.147214
7.250004,0.00,0.621309
7.260004,0.00,0.635972
7.270012,0.00,0.660410
7.280012,0.00,0.029912
7.290004,0.00,-0.053177
7.300004,0.00,0.655522
7.310008,0.00,0.704398
7.320004,0.00,0.044575
7.330016,0.00,0.694623
7.340008,0.00,-0.566373
7.350008,0.00,0.137439
7.360008,0.00,0.005474
7.370008,0.00,0.582209
7.380008,0.00,0.093451
7.390008,0.00,-0.097165
7.400008,0.00,-0.541935
7.410012,0.00,0.279179
7.420012,0.00,-0.248680
7.430012,0.00,0.039687
7.440004,0.00,0.528445
7.450004,0.00,0.244966
7.460012,0.00,0.567546
7.470008,0.00,-0.717888
7.480016,0.00,-0.229130
7.490016,0.00,-0.703225
7.500008,0.00,0.518670
7.510012,0.00,-0.375757
7.520004,0.00,0.108113
7.530012,0.00,0.621309
7.540004,0.00,0.518670
7.550008,0.00,-0.669012
7.560012,0.00,0.631084
7.570008,0.00,0.044575
7.580008,0.00,-0.400195
7.590004,0.00,-0.175366
7.600004,0.00,-0.150928
7.610012,0.00,-0.243793
7.620012,0.00,0.098338
7.630008,0.00,0.254741
7.640004,0.00,-0.781426
7.650004,0.00,0.626197
7.660004,0.00,0.572433
7.670004,0.00,-0.278006
7.680012,0.00,0.381818
7.690008,0.00,0.425806
7.700012,0.00,-0.537047
7.710004,0.00,0.039687
7.720012,0.00,-0.209579
7.730004,0.00,-0.380645
7.740016,0.00,-0.102053
7.750004,0.00,0.489345
7.760096,87.50,-0.888953
7.770068,87.50,-1.152883
7.780052,87.50,-0.400195
7.790012,87.50,-0.028739
7.800084,87.50,-0.028739
7.810052,87.50,-0.077615
7.820032,87.50,-1.079569
7.830008,87.50,-1.147997
7.840088,87.50,0.855913
7.850044,87.50,-1.006255
7.860024,87.50,-0.028739
7.870092,87.50,1.193159
7.880068,87.50,-0.497947
7.890044,87.50,-1.069794
7.900028,87.50,0.914564
7.910080,87.50,-0.062952
7.920040,87.50,-1.284847
7.930024,87.50,0.274291
7.940092,87.50,-0.497947
7.950056,87.50,-0.434408
7.960020,87.50,-0.062952
7.970092,87.50,-1.319063
7.980068,87.50,-0.023851
7.990044,87.50,-0.004301
8.000004,87.50,-0.473509
8.010061,87.50,0.860801
8.020020,87.50,-0.742326
8.030093,87.50,-0.009189
8.040044,87.50,0.645747
8.050008,87.50,-0.253568
8.060085,87.50,0.450244
8.070029,87.50,0.547996
8.080080,87.50,1.246920
8.090032,87.50,-1.001368
8.100012,87.50,-0.615249
8.110084,87.50,-1.143107
8.120048,87.50,-0.136266
8.130021,87.50,-0.263343
8.140012,87.50,-0.014076
8.150080,87.50,-0.199804
8.160033,87.50,-0.302444
8.170004,87.50,-0.341544
8.180088,87.50,-0.488172
8.190065,87.50,-0.136266
8.200033,87.50,-0.869403
8.210092,87.50,-0.439296
8.220061,87.50,-0.321994
8.230040,87.50,-0.033627
8.240100,87.50,0.533333
8.250057,87.50,-0.473509
8.260021,87.50,-0.370870
8.270092,87.50,-0.009189
8.280060,87.50,0.025024
8.290004,87.50,-0.483284
8.300065,87.50,-0.957379
8.310032,87.50,-1.016030
8.320005,87.50,-0.116715
8.330073,87.50,-0.869403
8.340037,87.50,-0.058064
8.350005,87.50,-0.713000
8.360076,87.50,-0.067840
8.370028,87.50,-0.908504
8.380084,87.50,0.895014
8.390036,87.50,-0.595698
8.400005,87.50,-0.737438
8.410073,87.50,-0.737438
8.420044,87.50,0.186315
8.430005,87.50,-0.199804
8.440073,87.50,0.401368
8.450029,87.50,-0.722775
8.460108,87.50,0.416031
8.470065,87.50,-0.659237
8.480040,87.50,-0.698338
8.490009,87.50,0.777714
8.500061,87.50,1.217597
8.510028,87.50,-0.136266
8.520009,87.50,-0.131378
8.530084,87.50,-1.079569
8.540044,87.50,0.147214
8.550004,87.50,-0.708113
8.560069,87.50,0.670185
8.570024,87.50,-1.108894
8.580093,87.50,1.300683
8.590044,87.50,-0.346432
8.600016,87.50,-0.732551
8.610093,87.50,-0.840077
8.620053,87.50,-0.253568
8.630024,87.50,-0.893841
8.640100,87.50,0.567546
8.650060,87.50,0.401368
8.660013,87.50,-0.859628
8.670088,87.50,-0.937829
8.680052,87.50,-0.463734
8.690025,87.50,0.015249
8.700080,87.50,-0.058064
8.710028,87.50,-0.321994
8.720005,87.50,0.596871
8.730056,87.50,-0.957379
8.740029,87.50,0.132551
8.750088,87.50,0.787487
8.760037,87.50,-0.351319
8.770016,87.50,0.176539
8.780080,87.50,0.249853
8.790033,87.50,-0.791202
8.800004,87.50,-0.361094
8.810069,87.50,0.303617
8.820033,87.50,1.056304
8.830093,87.50,0.875466
8.840052,87.50,-0.243793
8.850032,87.50,-0.121603
8.860005,87.50,-0.253568
8.870080,87.50,-1.143107
8.880057,87.50,0.205865
8.890100,87.50,1.217597
8.900065,87.50,-0.400195
8.910020,87.50,-0.605473
8.920088,87.50,0.152102
8.930041,87.50,-0.874290
8.940012,87.50,-0.673900
8.950080,87.50,-0.522385
